Feature	F-value	P-value
Snow	2.0027121142722852	0.07485526785279989
date1	4.060089845333185	0.0010977109885179108
date0	4.107655765687983	0.0009902191544550654
date2	8.423960416084325	5.577802995674779e-08
date3	10.965090261105198	1.4210971050923582e-10
date4	11.999071108158411	1.2214964784749973e-11
date_delta1	13.875444080156074	1.38621350758455e-13
Hills	17.56319278342123	1.943452862499387e-17
img_green_mean_prop_date5	17.93503778373881	7.912423160370364e-18
date_delta2	20.707495811228902	9.567889338067901e-21
img_green_mean_delta5	21.805276368562154	6.642861653293184e-22
Coastal	26.107360674573535	1.8561692403878444e-26
img_green_mean_prop_rate	28.210529355646806	1.0861469263216917e-28
img_red_mean_delta5	29.899345709525935	1.739873290024127e-30
Farms	30.051014127888642	1.1999961271825568e-30
img_blue_std_delta2	35.14049681510735	4.539446414133143e-36
img_red_mean_delta4	37.83818749841533	5.990376172417575e-39
img_red_mean_delta_total	44.18998999875345	9.680104617181725e-46
img_green_std_delta2	44.556927105642394	3.918465474031309e-46
Rural	44.62655748507277	3.300502448015995e-46
img_blue_mean_rate	45.9809028756669	1.1709334122528916e-47
img_green_mean_prop_date2	46.871394175246245	1.3026549819795247e-48
img_red_mean_prop_rate	47.85429419676172	1.1532063702873522e-49
Sparse Urban	48.74755203129397	1.272897985409003e-50
img_blue_mean_delta5	49.83964525423346	8.597239304465723e-52
img_red_std_delta5	52.474427381301204	1.2865246396592832e-54
img_green_mean_prop_date1	55.03775165898167	2.289068072771839e-57
date_delta_total	59.02454594639164	1.2034037046880611e-61
img_green_mean_delta4	61.4477179450236	3.0072413586319173e-64
img_blue_std_date5	63.10378426225052	5.002660857063544e-66
img_green_mean_delta_total	63.64851447416123	1.3000438971633784e-66
img_green_mean_prop_date4	64.02453161312022	5.128038196522264e-67
index	64.30073775213313	2.5892418843407358e-67
img_red_std_delta2	66.3484983082078	1.6314353208063174e-69
img_blue_mean_delta_total	66.63278054873456	8.072831439200126e-70
img_blue_std_date4	70.09291538198697	1.539260850933762e-73
img_green_mean_delta2	71.09621258552477	1.2837726759771602e-74
img_blue_std_delta5	72.84718381285181	1.6805249928107484e-76
img_green_std_delta5	75.22717034849481	4.6284701942445846e-79
img_red_mean_date4	75.24466199264512	4.432213911215101e-79
Sparse Forest	79.34038217166089	1.7371976250103625e-83
img_blue_mean_delta2	82.02947087469363	2.216954155294544e-86
img_green_mean_rate	87.89727439165063	1.0683861766822514e-92
Grass Land	89.55444712466914	1.7549382322974695e-94
img_green_std_date4	90.97072992949593	5.236646159433715e-96
img_red_mean_delta2	92.41541837188566	1.455897660312162e-97
img_blue_mean_prop_rate	92.88198183539023	4.577395881093543e-98
img_green_mean_date5	93.17001331820026	2.2407215202974686e-98
img_red_mean_rate	93.53352349791656	9.096088506048644e-99
img_red_mean_date5	95.2446193909844	1.3054279254168634e-100
img_red_std_delta_total	96.72421081513959	3.3257546630151605e-102
img_blue_std_delta3	103.84825297391406	7.017262097982374e-110
Urban Slum	112.37188377601012	4.5679228965199423e-119
img_green_std_delta_total	112.74014189325855	1.8313263997849645e-119
img_green_std_date5	114.58469949088176	1.8811067293052605e-121
img_blue_mean_delta4	114.98636052298656	6.941067307512807e-122
img_green_mean_date4	116.03535095783673	5.135707495857138e-123
img_green_std_delta3	116.25191135015962	3.0001371883595836e-123
img_red_mean_prop_date2	120.03877160065335	2.4806472256525004e-127
img_blue_std_delta_total	122.16820660196892	1.2550813505602079e-129
Desert	125.75447771642492	1.7053270564238026e-133
img_red_mean_date2	129.79888368356148	7.423608335003142e-138
Dense Forest	137.46880693549755	3.9723931534230096e-146
img_blue_std_date1	137.71571222841925	2.151604369771198e-146
img_red_mean_prop_date3	145.03244830111086	2.7617282136255783e-154
angle	148.28922792726493	8.478189856053128e-158
img_blue_mean_date5	152.63329722789524	1.747644463930621e-162
img_red_std_date4	153.92983943611267	6.980165165857393e-164
img_red_std_date1	155.7464023493171	7.661317238159338e-166
img_red_mean_delta3	158.59621180470805	6.458060670333129e-169
img_green_mean_prop_date3	158.65982411113666	5.514171918741021e-169
Lakes	161.83576500119946	2.0672593667913093e-172
img_green_mean_date2	162.64592580796577	2.7632049945924262e-173
img_blue_std_date3	164.8772081799119	1.0822781593697191e-175
img_blue_mean_date2	168.10224844449735	3.5905819418353054e-179
img_green_mean_delta3	168.48307749003126	1.3941932579944831e-179
River	171.46141314177615	8.53582033351733e-183
img_blue_mean_prop_date2	172.89388663654327	2.431401426859603e-184
img_green_std_date1	175.10757858655418	9.946175686435968e-187
img_red_std_date5	180.95942340140948	4.835478212702082e-193
img_red_std_date2	183.4416366447499	1.015089198943146e-195
img_red_std_delta3	185.10687598561978	1.6216504758697973e-197
img_green_mean_date3	185.17737973254364	1.3611127069706697e-197
img_green_std_date2	186.4635077877217	5.576358498036487e-199
img_blue_mean_delta3	193.44404902535467	1.6419849094511843e-206
Barren Land	196.6773725576539	5.3345441029253115e-210
img_blue_std_date2	203.3833444928936	3.107507181807464e-217
img_red_std_rate	205.10953873170166	4.267145710814793e-219
img_red_mean_date3	206.16819838995184	3.0762734756487954e-220
date_delta4	216.7011120752337	1.3335857536353888e-231
img_green_std_date3	241.22509562345394	4.681999287626517e-258
img_red_mean_date1	251.6703048643974	2.535933071765333e-269
img_red_mean_prop_date5	252.45076908476713	3.650529200506812e-270
length	285.1143368170045	2.1743867544872037e-305
img_blue_mean_prop_date3	286.1758879964802	1.558511915398841e-306
img_blue_std_delta4	290.62503404330363	2.486029677642e-311
img_green_std_rate	290.92486402224057	1.180940329345e-311
img_blue_mean_date3	292.91321671971417	8.4800593455e-314
img_red_std_date3	296.1969818966849	2.4431843e-317
img_blue_mean_date4	298.90512010969275	2.939e-320
img_green_std_delta4	308.74313985137576	0.0
img_red_std_delta4	309.9463578705895	0.0
img_green_mean_date1	313.5220828065368	0.0
img_blue_mean_prop_date5	316.2991228307365	0.0
img_blue_std_rate	327.19800714638865	0.0
img_blue_mean_date1	414.35622219691	0.0
img_red_mean_prop_date1	453.6581869701883	0.0
img_red_mean_prop_date4	507.35628671495954	0.0
change_status_value_date1	544.5472450675965	0.0
img_blue_mean_prop_date1	598.3403110566865	0.0
area	663.3734780886118	0.0
img_blue_mean_prop_date4	748.5770054822208	0.0
date_delta3	750.6693503795333	0.0
Dense Urban	835.7186285079229	0.0
change_status_value_date2	1314.3716569305884	0.0
Industrial	1423.0785819295902	0.0
change_status_value_date0	3683.6136020507356	0.0
centroid_x	4310.792101483482	0.0
centroid_y	5405.2349491952855	0.0
change_status_value_date3	6660.290891184822	0.0
compactness	13095.253139840244	0.0
civilizating_rate	20371.146618466366	0.0
change_status_value_date4	25579.73801111999	0.0
